station_complex_id,unique_ID
K024,FOREST AVE-M-BMT
N333A,FOREST HILLS 71-EFMR-IND
N114,FRANKLIN AV-ACS-IND
R622,FRANKLIN AV-2345S-IRT
R117,FRANKLIN ST-1-IRT
R320,FREEMAN ST-25-IRT
K025,FRESH POND RD-M-BMT
D003,FT HAMILTON PKY-N-BMT
E003,FT HAMILTON PKY-D-BMT
N543,FT HAMILTON PKY-FG-IND
N095,FULTON ST-ACJZ2345-BMT
N095,FULTON ST-ACJZ2345-IND
N095,FULTON ST-2345ACJZ-IND
N095,FULTON ST-2345ACJZ-IRT
N422,FULTON ST-G-IND
J013,GATES AV-JZ-BMT
H013,GRAHAM AV-L-BMT
R619,GRAND ARMY PLAZ-23-IRT
H015,GRAND ST-L-BMT
N520,GRAND ST-BD-IND
N327,GRAND-NEWTOWN-MR-IND
N129,GRANT AV-A-IND
R238,GRD CNTRL-42 ST-4567S-IRT
N405,GREENPOINT AV-G-IND
R331,GUN HILL RD-25-IRT
R728,GUN HILL RD-5-IRT
H028,HALSEY ST-L-BMT
J016,HALSEY ST-J-BMT
R309,HARLEM 148 ST-3-IRT
J003,HEWES ST-JM-BMT
N100,HIGH ST-AC-IND
R123,HOUSTON ST-1-IRT
N182,HOWARD BCH JFK-A-IND
R606,HOYT ST-23-IRT
N108,HOYT-SCHER-ACG-IND
R507,HUNTERS PT AV-7-IRT
R412,HUNTS POINT AV-6-IRT
R316,INTERVALE AV-25-IRT
N002A,INWOOD-207 ST-A-IND
R312,JACKSON AV-25-IRT
N343,JAMAICA 179 ST-F-IND
N606,JAMAICA CENTER-EJZ-IND
N604,JAMAICA VAN WK-E-IND
N103,JAY ST-METROTEC-R-BMT
N103,JAY ST-METROTEC-ACF-IND
H022,JEFFERSON ST-L-BMT
N606,JFK JAMAICA CT1-E-IND
R525,JKSN HT-ROOSVLT-EFMR7-IND
R528,JUNCTION BLVD-7-IRT
R630,JUNIUS ST-3-IRT
N336,KEW GARDENS-EF-IND
B024,KINGS HWY-BQ-BMT
D012,KINGS HWY-N-BMT
N557,KINGS HWY-F-IND
N221,KINGSBRIDGE RD-BD-IND
R290,KINGSBRIDGE RD-4-IRT
R624,KINGSTON AV-3-IRT
N119,KINGSTON-THROOP-C-IND
K019,KNICKERBOCKER-M-BMT
J012,KOSCIUSZKO ST-J-BMT
N110,LAFAYETTE AV-C-IND
N305,LEXINGTON AV/53-EM6-IND
N601,LEXINGTON AV/63-F-IND
N125,LIBERTY AV-C-IND
H038,LIVONIA AV-L-BMT
R410,LONGWOOD AV-6-IRT
H012,LORIMER ST-LG-BMT
J005,LORIMER ST-JM-BMT
R192,MARBLE HILL-225-1-IRT
J001,MARCY AV-JMZ-BMT
H012,METROPOLITAN AV-GL-IND
K026,METROPOLITAN AV-M-BMT
R532,METS-WILLETS PT-7-IRT
R421,MIDDLETOWN RD-6-IRT
H017,MONTROSE AV-L-BMT
H019,MORGAN AV-L-BMT
R415,MORISN AV/SNDVW-6-IRT
R726,MORRIS PARK-5-IRT
R293,MOSHOLU PKWY-4-IRT
R285,MT EDEN AV-4-IRT
J009,MYRTLE AV-JMZ-BMT
N415,MYRTLE-WILLOUGH-G-IND
H026,MYRTLE-WYCKOFF-LM-BMT
N408A,NASSAU AV-G-IND
B026,NECK RD-BQ-BMT
N562,NEPTUNE AV-F-IND
R335,NEREID AV-25-IRT
R608,NEVINS ST-2345-IRT
H039,NEW LOTS-L-BMT
R634,NEW LOTS AV-3-IRT
E006,NEW UTRECHT AV-ND-BMT
R643,NEWKIRK AV-25-IRT
B019,NEWKIRK PLAZA-BQ-BMT
N318,NORTHERN BLVD-MR-IND
N224,NORWOOD 205 ST-D-IND
J023,NORWOOD AV-JZ-BMT
N116,NOSTRAND AV-AC-IND
R623,NOSTRAND AV-3-IRT
B032,OCEAN PKWY-Q-BMT
N141,OZONE PK LEFFRT-A-IND
B009,PARK PLACE-S-BMT
N094,PARK PLACE-23ACE-IRT
R417,PARKCHESTER-6-IRT
B014,PARKSIDE AV-BQ-BMT
N339A,PARSONS BLVD-F-IND
R423,PELHAM BAY PARK-6-IRT
R328,PELHAM PKWY-25-IRT
R727,PELHAM PKWY-5-IRT
R632,PENNSYLVANIA AV-3-IRT
R635,PRESIDENT ST-25-IRT
A041,PRINCE ST-NRW-BMT
C014,PROSPECT AV-R-BMT
R314,PROSPECT AV-25-IRT
B013,PROSPECT PARK-BQS-BMT
N309A,QUEENS PLAZA-EMR-IND
R509,QUEENSBORO PLZ-7NQW-IRT
N121B,RALPH AV-C-IND
A054,RECTOR ST-NRW-BMT
R103,RECTOR ST-1-IRT
N122,ROCKAWAY AV-C-IND
R629,ROCKAWAY AV-3-IRT
N134,ROCKAWAY BLVD-A-IND
N187,ROCKAWAY PARK B-AS-IND
N602,ROOSEVELT ISLND-F-IND
R628,SARATOGA AV-3-IRT
K022,SENECA AVE-M-BMT
B027,SHEEPSHEAD BAY-BQ-BMT
N127,SHEPHERD AV-C-IND
R318,SIMPSON ST-25-IRT
N536,SMITH-9 ST-FG-IND
R101,SOUTH FERRY-1RW-IRT
N086,SPRING ST-CE-IND
R215,SPRING ST-6-IRT
R416,ST LAWRENCE AV-6-IRT
N315,STEINWAY ST-MR-IND
R636,STERLING ST-25-IRT
N338B,SUTPHIN BLVD-F-IND
N605,SUTPHIN-ARCHER-EJZ-IND
H037,SUTTER AV-L-BMT
R627,SUTTER AV-RUTLD-3-IRT
N060,TIMES SQ-42 ST-ACENQRS1237W-BMT
N060,TIMES SQ-42 ST-1237ACENQRSW-IRT
N060,TIMES SQ-42 ST-1237ACENQRS-IRT
N213,TREMONT AV-BD-IND
C010,UNION ST-R-BMT
N120,UTICA AV-AC-IND
R197,V.CORTLANDT PK-1-IRT
J021,VAN SICLEN AV-JZ-BMT
R633,VAN SICLEN AV-3-IRT
N126,VAN SICLEN AVE-C-IND
R504,VERNON-JACKSON-7-IRT
N080,W 4 ST-WASH SQ-ABCDEFM-IND
G011,W 8 ST-AQUARIUM-FQ-BMT
R336,WAKEFIELD/241-2-IRT
R111,WALL ST-23-IRT
R203,WALL ST-45-IRT
R323,WEST FARMS SQ-25-IRT
R420,WESTCHESTER SQ-6-IRT
R101,WHITEHALL S-FRY-R1W-BMT
R413,WHITLOCK AV-6-IRT
H032,WILSON AV-L-BMT
R637,WINTHROP ST-25-IRT
J031,WOODHAVEN BLVD-JZ-BMT
N329,WOODHAVEN BLVD-MR-IND
R294,WOODLAWN-4-IRT
N094,WORLD TRADE CTR-ACE23-IND
R106,WTC-CORTLANDT-1-IRT
N530,YORK ST-F-IND
R419,ZEREGA AV-6-IRT
