transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-01-29,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1247,18,Sunday
2023-01-29,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),8891,315,Sunday
2023-01-29,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4459,22,Sunday
2023-01-30,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14793,239,Monday
2023-01-30,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3316,77,Monday
2023-01-30,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16215,732,Monday
2023-01-30,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9081,49,Monday
2023-01-31,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15919,228,Tuesday
2023-01-31,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3831,67,Tuesday
2023-01-31,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17777,817,Tuesday
2023-01-31,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9730,54,Tuesday
2023-02-01,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16213,259,Wednesday
2023-02-01,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3841,64,Wednesday
2023-02-01,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17613,789,Wednesday
2023-02-01,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9905,55,Wednesday
2023-02-02,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16090,251,Thursday
2023-02-02,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3817,53,Thursday
2023-02-02,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18652,801,Thursday
2023-02-02,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9884,63,Thursday
2023-02-03,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13175,200,Friday
2023-02-03,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3271,74,Friday
2023-02-03,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15993,696,Friday
2023-02-03,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8354,49,Friday
2023-02-04,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7815,83,Saturday
2023-02-04,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1196,16,Saturday
2023-02-04,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),9002,343,Saturday
