transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,ridership
2023Q4,256,Parsons Blvd (F),Queens,40.707564,-73.803326,386766
2023Q4,257,Sutphin Blvd (F),Queens,40.70546,-73.810708,234871
2023Q4,258,"Briarwood (E,F)",Queens,40.709179,-73.820574,276810
2023Q4,259,"Kew Gardens-Union Tpke (E,F)",Queens,40.714441,-73.831008,1280149
2023Q4,26,"DeKalb Av (B,Q,R)",Brooklyn,40.690635,-73.981824,1126183
2023Q4,260,"75 Av (E,F)",Queens,40.718331,-73.837324,184473
2023Q4,261,"Forest Hills-71 Av (E,F,M,R)",Queens,40.721691,-73.844521,1474522
2023Q4,262,"67 Av (M,R)",Queens,40.726523,-73.852719,445140
2023Q4,263,"63 Dr-Rego Park (M,R)",Queens,40.729846,-73.861604,769678
2023Q4,264,"Woodhaven Blvd (M,R)",Queens,40.733106,-73.869229,1140943
2023Q4,265,"Grand Av-Newtown (M,R)",Queens,40.737015,-73.877223,1037025
2023Q4,266,"Elmhurst Av (M,R)",Queens,40.742454,-73.882017,717003
2023Q4,268,"65 St (M,R)",Queens,40.749669,-73.898453,186383
2023Q4,269,"Northern Blvd (M,R)",Queens,40.752885,-73.906006,369631
2023Q4,270,"46 St (M,R)",Queens,40.756312,-73.913333,404245
2023Q4,271,"Steinway St (M,R)",Queens,40.756879,-73.92074,669737
2023Q4,272,"36 St (M,R)",Queens,40.752039,-73.928781,176197
2023Q4,273,"Queens Plaza (E,M,R)",Queens,40.748973,-73.937243,1181639
2023Q4,276,"5 Av/53 St (E,M)",Manhattan,40.760167,-73.975224,1489844
2023Q4,277,"7 Av (E,B,D)",Manhattan,40.762862,-73.981637,1076552
2023Q4,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,40.702147,-73.801109,1526303
2023Q4,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,40.700486,-73.807969,1597762
2023Q4,28,Union St (R),Brooklyn,40.677316,-73.98311,438236
2023Q4,280,Jamaica-Van Wyck (E),Queens,40.702566,-73.816859,269502
2023Q4,282,21 St (G),Queens,40.744065,-73.949724,116673
2023Q4,283,Greenpoint Av (G),Brooklyn,40.731352,-73.954449,647990
2023Q4,284,Nassau Av (G),Brooklyn,40.724635,-73.951277,598405
2023Q4,286,Broadway (G),Brooklyn,40.706092,-73.950308,289386
2023Q4,287,Flushing Av (G),Brooklyn,40.700377,-73.950234,188340
2023Q4,288,Myrtle-Willoughby Avs (G),Brooklyn,40.694568,-73.949046,318780
2023Q4,289,Bedford-Nostrand Avs (G),Brooklyn,40.689627,-73.953522,508777
2023Q4,290,Classon Av (G),Brooklyn,40.688873,-73.96007,349574
2023Q4,291,Clinton-Washington Avs (G),Brooklyn,40.688089,-73.966839,339470
2023Q4,292,Fulton St (G),Brooklyn,40.687119,-73.975375,417307
2023Q4,293,Van Cortlandt Park-242 St (1),Bronx,40.889248,-73.898583,385585
2023Q4,294,238 St (1),Bronx,40.884667,-73.90087,251453
2023Q4,295,231 St (1),Bronx,40.878856,-73.904834,487650
2023Q4,296,Marble Hill-225 St (1),Manhattan,40.874561,-73.909831,273852
2023Q4,297,215 St (1),Manhattan,40.869444,-73.915279,134333
2023Q4,298,207 St (1),Manhattan,40.864621,-73.918822,341856
2023Q4,299,Dyckman St (1),Manhattan,40.860531,-73.925536,369468
2023Q4,3,"30 Av (N,W)",Queens,40.766779,-73.921479,801070
2023Q4,30,Prospect Av (R),Brooklyn,40.665414,-73.992872,338584
2023Q4,300,191 St (1),Manhattan,40.855225,-73.929412,409329
2023Q4,301,181 St (1),Manhattan,40.849505,-73.933596,582305
2023Q4,303,157 St (1),Manhattan,40.834041,-73.94489,583689
2023Q4,304,145 St (1),Manhattan,40.826551,-73.95036,533995
2023Q4,305,137 St-City College (1),Manhattan,40.822008,-73.953676,708833
2023Q4,306,125 St (1),Manhattan,40.815581,-73.958372,523311
2023Q4,307,116 St-Columbia University (1),Manhattan,40.807722,-73.96411,950254
2023Q4,308,Cathedral Pkwy (110 St) (1),Manhattan,40.803967,-73.966847,765282
2023Q4,309,103 St (1),Manhattan,40.799446,-73.968379,754989
2023Q4,31,25 St (R),Brooklyn,40.660397,-73.998091,214622
2023Q4,310,"96 St (1,2,3)",Manhattan,40.793919,-73.972323,2077786
2023Q4,311,86 St (1),Manhattan,40.788644,-73.976218,1046057
2023Q4,312,79 St (1),Manhattan,40.783934,-73.979917,926898
2023Q4,313,"72 St (1,2,3)",Manhattan,40.778453,-73.98197,2445880
2023Q4,314,66 St-Lincoln Center (1),Manhattan,40.77344,-73.982209,1302650
2023Q4,316,50 St (1),Manhattan,40.761728,-73.983849,1578449
2023Q4,318,"34 St-Penn Station (1,2,3)",Manhattan,40.750373,-73.991057,4136652
2023Q4,319,28 St (1),Manhattan,40.747215,-73.993365,807658
2023Q4,32,"36 St (D,N,R)",Brooklyn,40.655144,-74.003549,917764
2023Q4,320,23 St (1),Manhattan,40.744081,-73.995657,843587
2023Q4,321,18 St (1),Manhattan,40.74104,-73.997871,496212
2023Q4,323,Christopher St-Sheridan Sq (1),Manhattan,40.733422,-74.002906,771634
2023Q4,324,Houston St (1),Manhattan,40.728251,-74.005367,717341
2023Q4,325,Canal St (1),Manhattan,40.722854,-74.006277,298076
2023Q4,326,Franklin St (1),Manhattan,40.719318,-74.006886,356136
2023Q4,327,"Chambers St (1,2,3)",Manhattan,40.715478,-74.009266,1014160
2023Q4,328,WTC Cortlandt (1),Manhattan,40.711835,-74.012188,1088263
2023Q4,329,Rector St (1),Manhattan,40.707513,-74.013783,439992
2023Q4,33,45 St (R),Brooklyn,40.648939,-74.010006,467650
2023Q4,333,"Wall St (2,3)",Manhattan,40.706821,-74.0091,970182
2023Q4,334,"Clark St (2,3)",Brooklyn,40.697466,-73.993086,391939
2023Q4,336,"Hoyt St (2,3)",Brooklyn,40.690545,-73.985065,460258
2023Q4,337,"Nevins St (2,3,4,5)",Brooklyn,40.688246,-73.980492,594825
2023Q4,339,"Bergen St (2,3)",Brooklyn,40.680829,-73.975098,273120
2023Q4,34,53 St (R),Brooklyn,40.645069,-74.014034,498444
2023Q4,340,"Grand Army Plaza (2,3)",Brooklyn,40.675235,-73.971046,435421
2023Q4,341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,40.671987,-73.964375,286364
