station_complex_id,station_complex,borough,Year,ridership,net_exits
R318,"Simpson St (2,5)",BX,2020,1205306,473164
R318,"Simpson St (2,5)",BX,2021,1249483,564622
R318,"Simpson St (2,5)",BX,2022,1159669,611587
R320,"Freeman St (2,5)",BX,2018,1363462,1131771
R320,"Freeman St (2,5)",BX,2019,1367862,1213154
R320,"Freeman St (2,5)",BX,2020,629676,705586
R320,"Freeman St (2,5)",BX,2021,666537,910384
R320,"Freeman St (2,5)",BX,2022,675478,1094529
R322,"174 St (2,5)",BX,2018,1687452,1625987
R322,"174 St (2,5)",BX,2019,1678050,1767433
R322,"174 St (2,5)",BX,2020,746739,1027115
R322,"174 St (2,5)",BX,2021,787793,1201500
R322,"174 St (2,5)",BX,2022,732621,1349685
R323,"West Farms Sq-East Tremont Av (2,5)",BX,2018,2109086,1212283
R323,"West Farms Sq-East Tremont Av (2,5)",BX,2019,2121847,1506073
R323,"West Farms Sq-East Tremont Av (2,5)",BX,2020,950896,947133
R323,"West Farms Sq-East Tremont Av (2,5)",BX,2021,972048,1093565
R323,"West Farms Sq-East Tremont Av (2,5)",BX,2022,883299,1020768
R325,"East 180 St (2,5)",BX,2018,2299947,2041569
R325,"East 180 St (2,5)",BX,2019,2268098,2082318
R325,"East 180 St (2,5)",BX,2020,1159480,1208645
R325,"East 180 St (2,5)",BX,2021,1144088,1313743
R325,"East 180 St (2,5)",BX,2022,1175582,1646794
R326,"Bronx Park East (2,5)",BX,2018,757192,318025
R326,"Bronx Park East (2,5)",BX,2019,771962,332769
R326,"Bronx Park East (2,5)",BX,2020,344862,192204
R326,"Bronx Park East (2,5)",BX,2021,374905,244553
R326,"Bronx Park East (2,5)",BX,2022,365739,274482
R328,"Pelham Pkwy (2,5)",BX,2018,2656865,1182364
R328,"Pelham Pkwy (2,5)",BX,2019,2660269,1174823
R328,"Pelham Pkwy (2,5)",BX,2020,1197293,736720
R328,"Pelham Pkwy (2,5)",BX,2021,1293378,848507
R328,"Pelham Pkwy (2,5)",BX,2022,1155064,1024329
R329,"Allerton Av (2,5)",BX,2018,1607294,669761
R329,"Allerton Av (2,5)",BX,2019,1580651,674442
R329,"Allerton Av (2,5)",BX,2020,743299,418920
R329,"Allerton Av (2,5)",BX,2021,782916,486116
R329,"Allerton Av (2,5)",BX,2022,731219,560224
R330,"Burke Av (2,5)",BX,2018,1003122,410888
R330,"Burke Av (2,5)",BX,2019,1004564,434587
R330,"Burke Av (2,5)",BX,2020,471161,269318
R330,"Burke Av (2,5)",BX,2021,489136,300561
R330,"Burke Av (2,5)",BX,2022,453208,347547
R331,"Gun Hill Rd (2,5)",BX,2018,2208616,2449533
R331,"Gun Hill Rd (2,5)",BX,2019,2282856,2659900
R331,"Gun Hill Rd (2,5)",BX,2020,1003620,1342569
R331,"Gun Hill Rd (2,5)",BX,2021,1036168,1604889
R331,"Gun Hill Rd (2,5)",BX,2022,965051,1832886
R332,"219 St (2,5)",BX,2018,1030571,549240
R332,"219 St (2,5)",BX,2019,979368,526153
R332,"219 St (2,5)",BX,2020,448714,305535
R332,"219 St (2,5)",BX,2021,451922,351407
R332,"219 St (2,5)",BX,2022,441200,416431
R333,"225 St (2,5)",BX,2018,1026748,524030
R333,"225 St (2,5)",BX,2019,874145,487319
R333,"225 St (2,5)",BX,2020,405846,310271
R333,"225 St (2,5)",BX,2021,441586,359643
R333,"225 St (2,5)",BX,2022,406209,415092
R334,"233 St (2,5)",BX,2018,1499662,473657
R334,"233 St (2,5)",BX,2019,1445837,458892
R334,"233 St (2,5)",BX,2020,708081,304219
R334,"233 St (2,5)",BX,2021,757646,364493
R334,"233 St (2,5)",BX,2022,718716,462364
R335,"Nereid Av (2,5)",BX,2018,1040226,409398
R335,"Nereid Av (2,5)",BX,2019,1010327,429458
R335,"Nereid Av (2,5)",BX,2020,471970,251981
R335,"Nereid Av (2,5)",BX,2021,520052,307333
R335,"Nereid Av (2,5)",BX,2022,513275,365041
R336,Wakefield-241 St (2),BX,2018,1549965,1635072
R336,Wakefield-241 St (2),BX,2019,1468857,1637372
R336,Wakefield-241 St (2),BX,2020,769603,982240
R336,Wakefield-241 St (2),BX,2021,808453,1089781
R336,Wakefield-241 St (2),BX,2022,756275,1218599
R401,3 Av-138 St (6),BX,2018,2470053,1720080
R401,3 Av-138 St (6),BX,2019,2304252,1460941
R401,3 Av-138 St (6),BX,2020,974680,666608
R401,3 Av-138 St (6),BX,2021,937851,820699
R401,3 Av-138 St (6),BX,2022,1167333,1440371
R402,Brook Av (6),BX,2018,1900585,1768098
R402,Brook Av (6),BX,2019,1832669,1728450
R402,Brook Av (6),BX,2020,929478,1118411
R402,Brook Av (6),BX,2021,938896,1241113
R402,Brook Av (6),BX,2022,905573,1440627
R404,Cypress Av (6),BX,2018,1125624,786675
R404,Cypress Av (6),BX,2019,1055279,803936
R404,Cypress Av (6),BX,2020,501005,482893
R404,Cypress Av (6),BX,2021,479586,522509
R404,Cypress Av (6),BX,2022,455790,618474
R406,East 143 St-St Mary's St (6),BX,2018,306173,351195
R406,East 143 St-St Mary's St (6),BX,2019,319706,364043
R406,East 143 St-St Mary's St (6),BX,2020,170001,223992
R406,East 143 St-St Mary's St (6),BX,2021,183465,276075
R406,East 143 St-St Mary's St (6),BX,2022,210181,368054
