station_complex_id,Station,Line Name,Division,Notes,unique_ID
R217,B'WAY-LAFAYETTE,BDFQ6,IND,,B'WAY-LAFAYETTE-BDFQ6-IND
A043,CANAL ST,JNQRZ6W,BMT,,CANAL ST-JNQRZ6W-BMT
N089,CANAL ST,ACE,IND,,CANAL ST-ACE-IND
R119,CANAL ST,1,IRT,,CANAL ST-1-IRT
H041,CANARSIE-ROCKAW,L,BMT,,CANARSIE-ROCKAW-L-BMT
N535,CARROLL ST,FG,IND,,CARROLL ST-FG-IND
R418,CASTLE HILL AV,6,IRT,,CASTLE HILL AV-6-IRT
N035,CATHEDRAL PKWY,BC,IND,,CATHEDRAL PKWY-BC-IND
R172,CATHEDRAL PKWY,1,IRT,,CATHEDRAL PKWY-1-IRT
K017,CENTRAL AV,M,BMT,,CENTRAL AV-M-BMT
R301,CENTRAL PK N110,23,IRT,,CENTRAL PK N110-23-IRT
A069,CHAMBERS ST,JZ456,BMT,,CHAMBERS ST-JZ456-BMT
N094,CHAMBERS ST,ACE23,IND,,CHAMBERS ST-ACE23-IND
R116,CHAMBERS ST,123,IRT,,CHAMBERS ST-123-IRT
J017,CHAUNCEY ST,JZ,BMT,,CHAUNCEY ST-JZ-BMT
R125,CHRISTOPHER ST,1,IRT,,CHRISTOPHER ST-1-IRT
B016,CHURCH AV,BQ,BMT,,CHURCH AV-BQ-BMT
N546,CHURCH AV,FG,IND,,CHURCH AV-FG-IND
R639,CHURCH AV,25,IRT,,CHURCH AV-25-IRT
A047,CITY HALL,NRW,BMT,,CITY HALL-NRW-BMT
R600,CLARK ST,23,IRT,,CLARK ST-23-IRT
N419,CLASSON AV,G,IND,,CLASSON AV-G-IND
J022,CLEVELAND ST,J,BMT,,CLEVELAND ST-J-BMT
N111,CLINTON-WASH AV,C,IND,,CLINTON-WASH AV-C-IND
N420B,CLINTON-WASH AV,G,IND,,CLINTON-WASH AV-G-IND
G009,CONEY IS-STILLW,DFNQ,BMT,,CONEY IS-STILLW-DFNQ-BMT
B018,CORTELYOU RD,BQ,BMT,,CORTELYOU RD-BQ-BMT
N094,CORTLANDT ST,RNW,BMT,,CORTLANDT ST-RNW-BMT
N307,COURT SQ,EMG,IND,,COURT SQ-EMG-IND
N307,COURT SQ,7,IRT,,COURT SQ-7-IRT
N307,COURT SQ-23 ST,EMG,IND,,COURT SQ-23 ST-EMG-IND
J024,CRESCENT ST,JZ,BMT,,CRESCENT ST-JZ-BMT
R626,CROWN HTS-UTICA,34,IRT,,CROWN HTS-UTICA-34-IRT
R404,CYPRESS AV,6,IRT,,CYPRESS AV-6-IRT
