station_complex_id,Station,Line Name,Division,Notes,unique_ID
R635,PRESIDENT ST,25,IRT,,PRESIDENT ST-25-IRT
A041,PRINCE ST,NRW,BMT,,PRINCE ST-NRW-BMT
C014,PROSPECT AV,R,BMT,,PROSPECT AV-R-BMT
R314,PROSPECT AV,25,IRT,,PROSPECT AV-25-IRT
B013,PROSPECT PARK,BQS,BMT,,PROSPECT PARK-BQS-BMT
N309A,QUEENS PLAZA,EMR,IND,,QUEENS PLAZA-EMR-IND
R509,QUEENSBORO PLZ,7NQW,IRT,,QUEENSBORO PLZ-7NQW-IRT
N121B,RALPH AV,C,IND,,RALPH AV-C-IND
A054,RECTOR ST,NRW,BMT,,RECTOR ST-NRW-BMT
R103,RECTOR ST,1,IRT,,RECTOR ST-1-IRT
N122,ROCKAWAY AV,C,IND,,ROCKAWAY AV-C-IND
R629,ROCKAWAY AV,3,IRT,,ROCKAWAY AV-3-IRT
N134,ROCKAWAY BLVD,A,IND,,ROCKAWAY BLVD-A-IND
N187,ROCKAWAY PARK B,AS,IND,,ROCKAWAY PARK B-AS-IND
N602,ROOSEVELT ISLND,F,IND,,ROOSEVELT ISLND-F-IND
R628,SARATOGA AV,3,IRT,,SARATOGA AV-3-IRT
K022,SENECA AVE,M,BMT,,SENECA AVE-M-BMT
B027,SHEEPSHEAD BAY,BQ,BMT,,SHEEPSHEAD BAY-BQ-BMT
N127,SHEPHERD AV,C,IND,,SHEPHERD AV-C-IND
R318,SIMPSON ST,25,IRT,,SIMPSON ST-25-IRT
N536,SMITH-9 ST,FG,IND,,SMITH-9 ST-FG-IND
R101,SOUTH FERRY,1RW,IRT,,SOUTH FERRY-1RW-IRT
N086,SPRING ST,CE,IND,,SPRING ST-CE-IND
R215,SPRING ST,6,IRT,,SPRING ST-6-IRT
R416,ST LAWRENCE AV,6,IRT,,ST LAWRENCE AV-6-IRT
N315,STEINWAY ST,MR,IND,,STEINWAY ST-MR-IND
R636,STERLING ST,25,IRT,,STERLING ST-25-IRT
N338B,SUTPHIN BLVD,F,IND,,SUTPHIN BLVD-F-IND
N605,SUTPHIN-ARCHER,EJZ,IND,,SUTPHIN-ARCHER-EJZ-IND
H037,SUTTER AV,L,BMT,,SUTTER AV-L-BMT
R627,SUTTER AV-RUTLD,3,IRT,,SUTTER AV-RUTLD-3-IRT
N060,TIMES SQ-42 ST,ACENQRS1237W,BMT,,TIMES SQ-42 ST-ACENQRS1237W-BMT
N060,TIMES SQ-42 ST,1237ACENQRSW,IRT,,TIMES SQ-42 ST-1237ACENQRSW-IRT
N060,TIMES SQ-42 ST,1237ACENQRS,IRT,,TIMES SQ-42 ST-1237ACENQRS-IRT
N213,TREMONT AV,BD,IND,,TREMONT AV-BD-IND
C010,UNION ST,R,BMT,,UNION ST-R-BMT
N120,UTICA AV,AC,IND,,UTICA AV-AC-IND
R197,V.CORTLANDT PK,1,IRT,,V.CORTLANDT PK-1-IRT
J021,VAN SICLEN AV,JZ,BMT,,VAN SICLEN AV-JZ-BMT
R633,VAN SICLEN AV,3,IRT,,VAN SICLEN AV-3-IRT
N126,VAN SICLEN AVE,C,IND,,VAN SICLEN AVE-C-IND
R504,VERNON-JACKSON,7,IRT,,VERNON-JACKSON-7-IRT
N080,W 4 ST-WASH SQ,ABCDEFM,IND,,W 4 ST-WASH SQ-ABCDEFM-IND
G011,W 8 ST-AQUARIUM,FQ,BMT,,W 8 ST-AQUARIUM-FQ-BMT
R336,WAKEFIELD/241,2,IRT,,WAKEFIELD/241-2-IRT
R111,WALL ST,23,IRT,,WALL ST-23-IRT
R203,WALL ST,45,IRT,,WALL ST-45-IRT
R323,WEST FARMS SQ,25,IRT,,WEST FARMS SQ-25-IRT
R420,WESTCHESTER SQ,6,IRT,,WESTCHESTER SQ-6-IRT
R101,WHITEHALL S-FRY,R1W,BMT,,WHITEHALL S-FRY-R1W-BMT
R413,WHITLOCK AV,6,IRT,,WHITLOCK AV-6-IRT
H032,WILSON AV,L,BMT,,WILSON AV-L-BMT
R637,WINTHROP ST,25,IRT,,WINTHROP ST-25-IRT
J031,WOODHAVEN BLVD,JZ,BMT,,WOODHAVEN BLVD-JZ-BMT
N329,WOODHAVEN BLVD,MR,IND,,WOODHAVEN BLVD-MR-IND
R294,WOODLAWN,4,IRT,,WOODLAWN-4-IRT
N094,WORLD TRADE CTR,ACE23,IND,,WORLD TRADE CTR-ACE23-IND
R106,WTC-CORTLANDT,1,IRT,,WTC-CORTLANDT-1-IRT
N530,YORK ST,F,IND,,YORK ST-F-IND
R419,ZEREGA AV,6,IRT,,ZEREGA AV-6-IRT
