station_complex_id,station_complex,latitude,longitude,Georeference,borough
R284,170 St (4),40.840076,-73.91779,POINT (-73.91779 40.840076),BX
R285,Mt Eden Av (4),40.844433,-73.91469,POINT (-73.91469 40.844433),BX
R286,176 St (4),40.84848,-73.9118,POINT (-73.9118 40.84848),BX
R287,Burnside Av (4),40.853455,-73.907684,POINT (-73.907684 40.853455),BX
R288,183 St (4),40.858406,-73.90388,POINT (-73.90388 40.858406),BX
R289,Fordham Rd (4),40.862804,-73.90103,POINT (-73.90103 40.862804),BX
R290,Kingsbridge Rd (4),40.86776,-73.89717,POINT (-73.89717 40.86776),BX
R291,Bedford Park Blvd-Lehman College (4),40.873413,-73.89006,POINT (-73.89006 40.873413),BX
R293,Mosholu Pkwy (4),40.87975,-73.88466,POINT (-73.88466 40.87975),BX
R294,Woodlawn (4),40.886036,-73.87875,POINT (-73.87875 40.886036),BX
R301,"Central Park North-110 St (2,3)",40.799076,-73.95182,POINT (-73.95182 40.799076),M
R302,"116 St (2,3)",40.802097,-73.94962,POINT (-73.94962 40.802097),M
R304,"125 St (2,3)",40.807755,-73.945496,POINT (-73.945496 40.807755),M
R306,"135 St (2,3)",40.814228,-73.94077,POINT (-73.94077 40.814228),M
R308,145 St (3),40.82042,-73.93625,POINT (-73.93625 40.82042),M
R309,Harlem-148 St (3),40.82388,-73.93647,POINT (-73.93647 40.82388),M
R310,"3 Av-149 St (2,5)",40.81611,-73.917755,POINT (-73.917755 40.81611),BX
R312,"Jackson Av (2,5)",40.81649,-73.90781,POINT (-73.90781 40.81649),BX
R314,"Prospect Av (2,5)",40.819584,-73.90177,POINT (-73.90177 40.819584),BX
R316,"Intervale Av (2,5)",40.82218,-73.896736,POINT (-73.896736 40.82218),BX
R318,"Simpson St (2,5)",40.824074,-73.89307,POINT (-73.89307 40.824074),BX
R320,"Freeman St (2,5)",40.829994,-73.89187,POINT (-73.89187 40.829994),BX
R322,"174 St (2,5)",40.837288,-73.88773,POINT (-73.88773 40.837288),BX
R323,"West Farms Sq-East Tremont Av (2,5)",40.840294,-73.88005,POINT (-73.88005 40.840294),BX
R325,"East 180 St (2,5)",40.841892,-73.87349,POINT (-73.87349 40.841892),BX
R326,"Bronx Park East (2,5)",40.848827,-73.868454,POINT (-73.868454 40.848827),BX
R328,"Pelham Pkwy (2,5)",40.857193,-73.867615,POINT (-73.867615 40.857193),BX
R329,"Allerton Av (2,5)",40.865463,-73.867355,POINT (-73.867355 40.865463),BX
R330,"Burke Av (2,5)",40.871357,-73.867165,POINT (-73.867165 40.871357),BX
R331,"Gun Hill Rd (2,5)",40.87785,-73.86626,POINT (-73.86626 40.87785),BX
R332,"219 St (2,5)",40.883896,-73.86263,POINT (-73.86263 40.883896),BX
R333,"225 St (2,5)",40.888023,-73.860344,POINT (-73.860344 40.888023),BX
R334,"233 St (2,5)",40.893192,-73.857475,POINT (-73.857475 40.893192),BX
R335,"Nereid Av (2,5)",40.89838,-73.85438,POINT (-73.85438 40.89838),BX
R336,Wakefield-241 St (2),40.903126,-73.85062,POINT (-73.85062 40.903126),BX
R401,3 Av-138 St (6),40.810474,-73.92614,POINT (-73.92614 40.810474),BX
R402,Brook Av (6),40.807568,-73.91924,POINT (-73.91924 40.807568),BX
R404,Cypress Av (6),40.805367,-73.91404,POINT (-73.91404 40.805367),BX
R406,East 143 St-St Mary's St (6),40.80872,-73.90765,POINT (-73.90765 40.80872),BX
R408,East 149 St (6),40.81212,-73.9041,POINT (-73.9041 40.81212),BX
R410,Longwood Av (6),40.816105,-73.89644,POINT (-73.89644 40.816105),BX
R412,Hunts Point Av (6),40.82095,-73.89055,POINT (-73.89055 40.82095),BX
R413,Whitlock Av (6),40.826527,-73.886284,POINT (-73.886284 40.826527),BX
R414,Elder Av (6),40.828583,-73.87916,POINT (-73.87916 40.828583),BX
R415,Morrison Av-Soundview (6),40.82952,-73.87452,POINT (-73.87452 40.82952),BX
R416,St Lawrence Av (6),40.83151,-73.867615,POINT (-73.867615 40.83151),BX
R417,Parkchester (6),40.833225,-73.86082,POINT (-73.86082 40.833225),BX
R418,Castle Hill Av (6),40.834255,-73.85122,POINT (-73.85122 40.834255),BX
R419,Zerega Av (6),40.836487,-73.84704,POINT (-73.84704 40.836487),BX
R420,Westchester Sq-East Tremont Av (6),40.839893,-73.84295,POINT (-73.84295 40.839893),BX
R421,Middletown Rd (6),40.843864,-73.83632,POINT (-73.83632 40.843864),BX
R422,Buhre Av (6),40.84681,-73.832565,POINT (-73.832565 40.84681),BX
R423,Pelham Bay Park (6),40.852463,-73.82812,POINT (-73.82812 40.852463),BX
R504,Vernon Blvd-Jackson Av (7),40.742626,-73.95358,POINT (-73.95358 40.742626),Q
R507,Hunters Point Av (7),40.742214,-73.94891,POINT (-73.94891 40.742214),Q
R509,"Queensboro Plaza (N,W,7)",40.750584,-73.9402,POINT (-73.9402 40.750584),Q
R510,"39 Av (N,W)",40.75288,-73.932755,POINT (-73.932755 40.75288),Q
R511,"36 Av (N,W)",40.756805,-73.92957,POINT (-73.92957 40.756805),Q
R512,"Broadway (N,W)",40.76182,-73.92551,POINT (-73.92551 40.76182),Q
R513,"30 Av (N,W)",40.76678,-73.92148,POINT (-73.92148 40.76678),Q
R514,"Astoria Blvd (N,W)",40.77026,-73.91785,POINT (-73.91785 40.77026),Q
R515,"Astoria-Ditmars Blvd (N,W)",40.775036,-73.91203,POINT (-73.91203 40.775036),Q
R516,33 St-Rawson St (7),40.744587,-73.931,POINT (-73.931 40.744587),Q
R518,40 St-Lowery St (7),40.743782,-73.92402,POINT (-73.92402 40.743782),Q
R519,46 St-Bliss St (7),40.743134,-73.918434,POINT (-73.918434 40.743134),Q
R521,52 St (7),40.74415,-73.91255,POINT (-73.91255 40.74415),Q
R523,Woodside-61 St (7),40.74563,-73.902985,POINT (-73.902985 40.74563),Q
R524,69 St (7),40.746326,-73.8964,POINT (-73.8964 40.746326),Q
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",40.74685,-73.891335,POINT (-73.891335 40.74685),Q
R526,82 St-Jackson Hts (7),40.747658,-73.8837,POINT (-73.8837 40.747658),Q
R527,90 St-Elmhurst Av (7),40.74841,-73.87661,POINT (-73.87661 40.74841),Q
R528,Junction Blvd (7),40.749146,-73.86953,POINT (-73.86953 40.749146),Q
R529,103 St-Corona Plaza (7),40.749866,-73.8627,POINT (-73.8627 40.749866),Q
R530,111 St (7),40.75173,-73.85533,POINT (-73.85533 40.75173),Q
R532,Mets-Willets Point (7),40.754623,-73.84563,POINT (-73.84563 40.754623),Q
R533,Flushing-Main St (7),40.7596,-73.83003,POINT (-73.83003 40.7596),Q
R550,34 St-Hudson Yards (7),40.755882,-74.00191,POINT (-74.00191 40.755882),M
R600,"Clark St (2,3)",40.697468,-73.99309,POINT (-73.99309 40.697468),BK
R602,"Court St (R)/Borough Hall (2,3,4,5)",40.6941,-73.99,POINT (-73.99 40.6941),BK
R606,"Hoyt St (2,3)",40.690544,-73.98506,POINT (-73.98506 40.690544),BK
R608,"Nevins St (2,3,4,5)",40.688248,-73.98049,POINT (-73.98049 40.688248),BK
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",40.68446,-73.97689,POINT (-73.97689 40.68446),BK
R617,"Bergen St (2,3)",40.68083,-73.9751,POINT (-73.9751 40.68083),BK
R619,"Grand Army Plaza (2,3)",40.675236,-73.97105,POINT (-73.97105 40.675236),BK
R621,"Eastern Pkwy-Brooklyn Museum (2,3)",40.671986,-73.96438,POINT (-73.96438 40.671986),BK
R622,"Franklin Av (2,3,4,5)/Botanic Garden (S)",40.67068,-73.95813,POINT (-73.95813 40.67068),BK
R623,Nostrand Av (3),40.669846,-73.95046,POINT (-73.95046 40.669846),BK
R624,Kingston Av (3),40.6694,-73.94216,POINT (-73.94216 40.6694),BK
R626,"Crown Heights-Utica Av (3,4)",40.668896,-73.932945,POINT (-73.932945 40.668896),BK
R627,Sutter Av-Rutland Rd (3),40.66472,-73.92261,POINT (-73.92261 40.66472),BK
R628,Saratoga Av (3),40.661453,-73.91633,POINT (-73.91633 40.661453),BK
R629,Rockaway Av (3),40.662548,-73.90894,POINT (-73.90894 40.662548),BK
R630,Junius St (3),40.663513,-73.90245,POINT (-73.90245 40.663513),BK
R632,Pennsylvania Av (3),40.664635,-73.8949,POINT (-73.8949 40.664635),BK
R633,Van Siclen Av (3),40.665447,-73.8894,POINT (-73.8894 40.665447),BK
R634,New Lots Av (3),40.666237,-73.88408,POINT (-73.88408 40.666237),BK
R635,"President St (2,5)",40.667885,-73.95068,POINT (-73.95068 40.667885),BK
R636,"Sterling St (2,5)",40.662743,-73.95085,POINT (-73.95085 40.662743),BK
R637,"Winthrop St (2,5)",40.65665,-73.9502,POINT (-73.9502 40.65665),BK
R639,"Church Av (2,5)",40.650845,-73.94958,POINT (-73.94958 40.650845),BK
R641,"Beverly Rd (2,5)",40.6451,-73.94896,POINT (-73.94896 40.6451),BK
R643,"Newkirk Av (2,5)",40.63997,-73.94841,POINT (-73.94841 40.63997),BK
R645,"Flatbush Av-Brooklyn College (2,5)",40.632835,-73.94764,POINT (-73.94764 40.632835),BK
R726,Morris Park (5),40.854362,-73.8605,POINT (-73.8605 40.854362),BX
R727,Pelham Pkwy (5),40.858986,-73.85536,POINT (-73.85536 40.858986),BX
R728,Gun Hill Rd (5),40.869526,-73.84638,POINT (-73.84638 40.869526),BX
R729,Baychester Av (5),40.878662,-73.83859,POINT (-73.83859 40.878662),BX
R730,Eastchester-Dyre Av (5),40.8883,-73.83083,POINT (-73.83083 40.8883),BX
