station_complex_id,station_complex,latitude,longitude,Georeference,borough
J021,"Van Siclen Av (J,Z)",40.678024,-73.891685,POINT (-73.891685 40.678024),BK
J022,Cleveland St (J),40.679947,-73.884636,POINT (-73.884636 40.679947),BK
J023,"Norwood Av (J,Z)",40.68141,-73.880035,POINT (-73.880035 40.68141),BK
J024,"Crescent St (J,Z)",40.683193,-73.87379,POINT (-73.87379 40.683193),BK
J025,Cypress Hills (J),40.68994,-73.87255,POINT (-73.87255 40.68994),BK
J028,"75 St-Elderts Ln (J,Z)",40.691322,-73.86714,POINT (-73.86714 40.691322),Q
J030,85 St-Forest Pkwy (J),40.692436,-73.86001,POINT (-73.86001 40.692436),Q
J031,"Woodhaven Blvd (J,Z)",40.69388,-73.85158,POINT (-73.85158 40.69388),Q
J034,"104 St (J,Z)",40.69518,-73.84433,POINT (-73.84433 40.69518),Q
J035,111 St (J),40.69742,-73.83634,POINT (-73.83634 40.69742),Q
J037,"121 St (J,Z)",40.700493,-73.82829,POINT (-73.82829 40.700493),Q
K017,Central Av (M),40.697857,-73.9274,POINT (-73.9274 40.697857),BK
K019,Knickerbocker Av (M),40.698666,-73.91971,POINT (-73.91971 40.698666),BK
K022,Seneca Av (M),40.702763,-73.90774,POINT (-73.90774 40.702763),Q
K024,Forest Av (M),40.704422,-73.903076,POINT (-73.903076 40.704422),Q
K025,Fresh Pond Rd (M),40.706184,-73.895874,POINT (-73.895874 40.706184),Q
K026,Middle Village-Metropolitan Av (M),40.711395,-73.8896,POINT (-73.8896 40.711395),Q
N002A,Inwood-207 St (A),40.868073,-73.9199,POINT (-73.9199 40.868073),M
N003,Dyckman St (A),40.86549,-73.92727,POINT (-73.92727 40.86549),M
N006A,190 St (A),40.85902,-73.93418,POINT (-73.93418 40.85902),M
N007A,181 St (A),40.851696,-73.937965,POINT (-73.937965 40.851696),M
N010,175 St (A),40.84739,-73.939705,POINT (-73.939705 40.84739),M
N016A,163 St-Amsterdam Av (C),40.836014,-73.939896,POINT (-73.939896 40.836014),M
N017,155 St (C),40.830517,-73.94151,POINT (-73.94151 40.830517),M
N019,"145 St (A,B,C,D)",40.824783,-73.944214,POINT (-73.944214 40.824783),M
N024,"135 St (B,C)",40.817894,-73.94765,POINT (-73.94765 40.817894),M
N026,"125 St (A,B,C,D)",40.811108,-73.95235,POINT (-73.95235 40.811108),M
N030,"116 St (B,C)",40.805084,-73.95488,POINT (-73.95488 40.805084),M
N035,"Cathedral Pkwy-110 St (B,C)",40.800602,-73.95816,POINT (-73.95816 40.800602),M
N037,"103 St (B,C)",40.796093,-73.96146,POINT (-73.96146 40.796093),M
N040,"96 St (B,C)",40.79164,-73.9647,POINT (-73.9647 40.79164),M
N043,"86 St (B,C)",40.78587,-73.96892,POINT (-73.96892 40.78587),M
N044,"81 St-Museum of Natural History (B,C)",40.781433,-73.972145,POINT (-73.972145 40.781433),M
N046,"72 St (B,C)",40.775593,-73.97641,POINT (-73.97641 40.775593),M
N049,"59 St-Columbus Circle (A,B,C,D,1)",40.768295,-73.981735,POINT (-73.981735 40.768295),M
N056,"50 St (C,E)",40.762455,-73.985985,POINT (-73.985985 40.762455),M
N060,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",40.75731,-73.981964,POINT (-73.981964 40.75731),M
N070,"34 St-Penn Station (A,C,E)",40.75229,-73.99339,POINT (-73.99339 40.75229),M
N076,"23 St (C,E)",40.745907,-73.99804,POINT (-73.99804 40.745907),M
N078,"14 St (A,C,E)/8 Av (L)",40.740894,-74.00169,POINT (-74.00169 40.740894),M
N080,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",40.732338,-74.000496,POINT (-74.000496 40.732338),M
N086,"Spring St (C,E)",40.726227,-74.00374,POINT (-74.00374 40.726227),M
N089,"Canal St (A,C,E)",40.720825,-74.005226,POINT (-74.005226 40.720825),M
N094,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.71411,-74.00858,POINT (-74.00858 40.71411),M
N095,"Fulton St (A,C,J,Z,2,3,4,5)",40.710373,-74.00657,POINT (-74.00657 40.710373),M
N100,"High St (A,C)",40.699337,-73.99053,POINT (-73.99053 40.699337),BK
N103,"Jay St-MetroTech (A,C,F,R)",40.692337,-73.98594,POINT (-73.98594 40.692337),BK
N108,"Hoyt-Schermerhorn Sts (A,C,G)",40.688484,-73.985,POINT (-73.985 40.688484),BK
N110,Lafayette Av (C),40.68611,-73.973946,POINT (-73.973946 40.68611),BK
N111,Clinton-Washington Avs (C),40.68326,-73.965836,POINT (-73.965836 40.68326),BK
N114,"Franklin Av (C,S)",40.68138,-73.95685,POINT (-73.95685 40.68138),BK
N116,"Nostrand Av (A,C)",40.68044,-73.950424,POINT (-73.950424 40.68044),BK
N119,Kingston-Throop Avs (C),40.67992,-73.94086,POINT (-73.94086 40.67992),BK
N120,"Utica Av (A,C)",40.679363,-73.93073,POINT (-73.93073 40.679363),BK
N121B,Ralph Av (C),40.67882,-73.920784,POINT (-73.920784 40.67882),BK
N122,Rockaway Av (C),40.67834,-73.91195,POINT (-73.91195 40.67834),BK
N124,"Broadway Junction (A,C,J,L,Z)",40.679497,-73.90451,POINT (-73.90451 40.679497),BK
N125,Liberty Av (C),40.67454,-73.896545,POINT (-73.896545 40.67454),BK
N126,Van Siclen Av (C),40.67271,-73.89036,POINT (-73.89036 40.67271),BK
N127,Shepherd Av (C),40.67413,-73.88075,POINT (-73.88075 40.67413),BK
N128,"Euclid Av (A,C)",40.675377,-73.87211,POINT (-73.87211 40.675377),BK
N129,Grant Av (A),40.677044,-73.86505,POINT (-73.86505 40.677044),BK
N131,80 St (A),40.67937,-73.85899,POINT (-73.85899 40.67937),Q
N133,88 St (A),40.679844,-73.85147,POINT (-73.85147 40.679844),Q
N134,Rockaway Blvd (A),40.680428,-73.84386,POINT (-73.84386 40.680428),Q
N137,104 St (A),40.68171,-73.837685,POINT (-73.837685 40.68171),Q
N139,111 St (A),40.68433,-73.83216,POINT (-73.83216 40.68433),Q
N141,Ozone Park-Lefferts Blvd (A),40.68595,-73.8258,POINT (-73.8258 40.68595),Q
N181,Aqueduct-North Conduit Av (A),40.668236,-73.83406,POINT (-73.83406 40.668236),Q
